Actual_Values,Lower_5%,Upper_5%
8387.37,8279.54325,8371.15825
8253.39,8172.53,8269.58325
7716.18,7727.424,7751.00625
6613.25,6692.395750000001,6761.2465
6047.57,5972.927500000001,6126.2765
8868.54,8957.53,9096.88575
7843.79,7863.274,7890.2
7996.95,7946.582,7968.67575
6819.5,6773.693,6819.2595
6265.62,6147.00825,6222.79
7447.71,7220.4875,7383.33
6062.11,5915.65,6014.4955
10552.03,10287.4695,10546.13975
8055.66,8027.588499999999,8088.3835
10209.36,10097.39125,10154.497000000001
7639.72,7548.9945,7600.5185
7752.25,7640.921,7785.472
9642.65,9591.778,9664.18575
7065.69,6940.6255,7032.15
9355.58,9178.711,9261.29
8107.85,8090.4965,8191.325999999999
7641.56,7570.521000000001,7684.14325
6074.28,6018.69,6065.97
8261.39,8178.156,8240.89
6877.58,6840.772,6870.61
7914.53,7885.8,7928.17
7669.91,7596.455,7694.6505
8209.24,8088.4085,8186.443
8527.35,8346.0235,8522.1505
6814.9,6686.7915,6712.67725
7517.94,7424.9165,7444.56
7149.22,7118.902,7183.85675
7602.77,7546.201,7578.42275
8754.95,8602.2755,8710.863
9188.78,9142.588000000002,9207.82175
9476.51,9453.8395,9546.2145
5779.93,5752.0365,5791.227
6083.48,6099.268,6131.5
8170.1,8083.91125,8111.67125
6760.48,6753.3215,6777.6415
6096.56,6034.9515,6134.27
7551.17,7450.906,7534.86
8437.16,8243.1505,8362.96
6944.19,6859.6095,6922.47
7514.56,7375.62175,7451.1765
6039.82,6047.7,6114.219
6587.73,6592.44725,6650.8025
7243.6,7255.90525,7277.14
7636.98,7347.07,7658.9355
8580.28,8436.389,8546.47575
8247.13,8039.263,8192.030999999999
6608.56,6563.8769999999995,6621.38
5916.77,5897.3205,5977.375
10317.34,10117.74,10291.58
8208.02,8050.31,8090.19
7972.36,7994.25,8027.63075
8060.86,7964.05325,8106.950250000001
8280.32,8100.645,8224.38475
7966.54,8024.86325,8051.75825
11672.89,11544.828500000001,11698.473750000001
8866.19,8722.973,8815.005
7692.31,7805.3910000000005,7847.1045
9699.9,9410.419,9536.918500000002
7712.62,7618.34,7712.5
7708.71,7688.6,7738.3775
8079.18,7997.659500000001,8080.1990000000005
7775.33,7756.862,7816.9165
8675.38,8659.286,8706.59175
8348.83,8189.6035,8274.974999999999
6908.84,6831.398,6885.474749999999
8827.15,8670.89825,8794.305
7507.97,7462.04,7549.24225
7958.07,7856.41,7956.72
8981.75,8625.05,8851.697
9114.8,8852.33,9033.18175
5972.95,5932.995,5982.79625
8289.5,8200.198250000001,8344.803
5946.84,5938.693,6015.593
9724.31,9570.7945,9730.74725
7582.08,7350.95,7507.31
6791.22,6663.7,6772.85
7476.46,7588.7645,7617.89
6626.47,6545.5,6754.38125
6774.85,6767.812,6813.1385
8648.41,8565.5615,8665.8065
10134.91,10155.04675,10236.89
10283.48,10169.97,10352.076
7135.41,7100.3994999999995,7133.526
7529.7,7487.57,7537.0225
8094.69,7864.332,8086.2685
7766.26,7617.62,7734.45
